"","GameID","Team","Opponent","Home","Win","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","STL","BLK","TO","PF","PTS"
"52","400827913","Hornets","Hawks","0","0","36","88","12","30","10","13","13","41","54","23","7","6","18","20","94"
"53","400827914","Bucks","Wizards","1","0","42","82","7","24","22","28","6","26","32","33","9","2","16","32","113"
"54","400827914","Wizards","Bucks","0","1","35","68","12","21","36","44","8","29","37","25","7","5","21","20","118"
"55","400827915","Spurs","Nets","1","1","40","86","9","22","13","13","12","44","56","23","7","4","18","16","102"
"56","400827915","Nets","Spurs","0","0","31","77","5","16","8","15","2","30","32","17","6","6","15","17","75"
"57","400827916","Nuggets","Timberwolves","1","0","29","95","5","25","15","20","17","34","51","15","7","4","14","27","78"
"58","400827916","Timberwolves","Nuggets","0","1","30","71","2","11","33","41","7","42","49","18","7","6","17","24","95"
"59","400827917","Rockets","Warriors","1","0","30","82","5","23","27","36","12","37","49","19","3","9","16","20","92"
"60","400827917","Warriors","Rockets","0","1","43","93","9","26","17","25","11","36","47","26","9","4","8","24","112"
"61","400827918","Kings","Lakers","1","1","52","101","6","22","22","30","16","40","56","26","6","7","14","23","132"
"62","400827918","Lakers","Kings","0","0","41","89","11","34","21","27","8","29","37","20","7","9","19","24","114"
"63","400827919","Suns","Trail Blazers","1","1","37","83","4","18","32","42","11","44","55","17","13","7","19","17","110"
"64","400827919","Trail Blazers","Suns","0","0","34","86","9","24","15","19","11","31","42","17","9","5","23","33","92"
"65","400827920","Pacers","Jazz","1","0","28","70","4","17","16","21","7","27","34","10","8","7","24","19","76"
"66","400827920","Jazz","Pacers","0","1","39","88","6","15","13","18","15","32","47","15","13","4","17","24","97"
"67","400827921","Wizards","Knicks","1","0","38","90","6","22","28","33","11","32","43","17","9","3","17","32","110"
"68","400827921","Knicks","Wizards","0","1","41","86","9","19","26","32","9","31","40","21","8","5","18","30","117"
"69","400827922","Pelicans","Warriors","1","0","46","100","8","22","20","23","16","32","48","22","4","4","15","23","120"
"70","400827922","Warriors","Pelicans","0","1","46","84","17","30","25","35","3","35","38","26","10","4","10","24","134"
"71","400827923","Grizzlies","Nets","1","1","34","80","9","23","24","28","11","31","42","26","6","2","9","19","101"
"72","400827923","Nets","Grizzlies","0","0","38","79","3","13","12","18","8","35","43","21","3","3","12","22","91"
"73","400827924","Trail Blazers","Suns","1","0","33","79","8","30","16","28","10","35","45","20","7","5","16","20","90"
"74","400827924","Suns","Trail Blazers","0","1","39","94","11","32","12","16","11","37","48","16","11","6","13","20","101"
"75","400827925","Clippers","Kings","1","1","39","76","4","17","32","46","6","35","41","25","4","9","17","22","114"
"76","400827925","Kings","Clippers","0","0","43","101","6","18","17","25","19","30","49","20","9","2","13","34","109"
"77","400827926","Hornets","Hawks","1","0","32","86","14","37","14","15","9","36","45","27","7","13","11","14","92"
"78","400827926","Hawks","Hornets","0","1","37","88","7","29","13","14","9","39","48","22","9","6","11","16","94"
"79","400827927","Celtics","Spurs","1","0","35","98","6","29","11","14","16","29","45","21","10","5","16","23","87"
"80","400827927","Spurs","Celtics","0","1","36","83","5","19","18","25","10","41","51","22","10","6","18","16","95"
"81","400827928","Heat","Rockets","1","1","42","86","9","22","16","21","11","37","48","24","11","5","12","16","109"
"82","400827928","Rockets","Heat","0","0","32","79","10","36","15","18","3","31","34","20","9","3","17","23","89"
"83","400827929","Raptors","Bucks","1","1","41","90","11","25","13","20","18","28","46","22","12","3","13","19","106"
"84","400827929","Bucks","Raptors","0","0","29","69","5","19","24","24","7","26","33","21","6","8","18","21","87"
"85","400827930","Bulls","Magic","1","1","33","87","7","28","19","22","11","36","47","23","7","8","13","16","92"
"86","400827930","Magic","Bulls","0","0","35","90","7","23","10","17","12","31","43","21","7","11","16","19","87"
"87","400827931","Thunder","Nuggets","1","1","45","86","13","25","14","18","13","37","50","32","9","10","19","23","117"
"88","400827931","Nuggets","Thunder","0","0","35","92","9","26","14","19","14","21","35","20","8","3","13","17","93"
"89","400827932","Lakers","Mavericks","1","0","31","85","10","34","21","28","8","34","42","18","8","9","12","20","93"
"90","400827932","Mavericks","Lakers","0","1","40","87","11","30","12","16","8","41","49","28","5","4","11","22","103"
"91","400827933","76ers","Cavaliers","1","0","38","85","7","24","17","23","9","28","37","22","7","5","13","18","100"
"92","400827933","Cavaliers","76ers","0","1","42","81","8","22","15","20","7","36","43","28","5","9","16","19","107"
"93","400827934","Nets","Bucks","1","0","36","79","6","19","18","22","10","25","35","21","3","4","18","23","96"
"94","400827934","Bucks","Nets","0","1","38","73","9","23","18","26","8","28","36","24","6","7","14","23","103"
"95","400827935","Knicks","Spurs","1","0","32","89","4","13","16","21","17","32","49","17","8","3","10","18","84"
"96","400827935","Spurs","Knicks","0","1","39","79","4","13","12","17","8","37","45","21","6","7","13","12","94"
"97","400827936","Rockets","Thunder","1","1","41","89","9","29","19","29","7","27","34","22","18","7","12","22","110"
"98","400827936","Thunder","Rockets","0","0","40","84","10","23","15","22","14","41","55","17","7","9","24","24","105"
"99","400827937","Timberwolves","Trail Blazers","1","0","34","79","3","13","30","39","8","33","41","22","10","4","15","22","101"
"100","400827937","Trail Blazers","Timberwolves","0","1","41","89","9","30","15","20","11","35","46","18","5","6","16","27","106"
"101","400827938","Warriors","Grizzlies","1","1","43","84","11","25","22","30","10","55","65","32","8","13","14","15","119"
"102","400827938","Grizzlies","Warriors","0","0","26","96","3","23","14","20","11","33","44","21","8","7","11","24","69"
"103","400827939","Clippers","Suns","1","1","37","81","8","26","20","23","3","43","46","20","4","5","11","18","102"
"104","400827939","Suns","Clippers","0","0","36","98","9","30","15","21","16","39","55","23","8","1","9","20","96"
"105","400827940","Hornets","Bulls","1","1","47","91","14","23","22","23","12","40","52","26","6","4","9","11","130"
"106","400827940","Bulls","Hornets","0","0","44","90","14","30","3","8","4","29","33","26","5","0","12","19","105"
"107","400827941","Pistons","Pacers","1","0","33","86","5","22","11","17","19","31","50","14","8","5","23","21","82"
"108","400827941","Pacers","Pistons","0","1","38","88","7","23","11","12","12","30","42","21","15","5","15","19","94"
"109","400827942","Heat","Hawks","1","0","38","86","5","28","11","16","13","36","49","13","10","9","18","21","92"
"110","400827942","Hawks","Heat","0","1","37","90","7","21","17","22","16","35","51","25","10","1","15","14","98"
"111","400827943","Pelicans","Magic","1","0","32","90","12","36","18","25","10","36","46","23","12","9","14","14","94"
"112","400827943","Magic","Pelicans","0","1","42","90","7","18","12","12","10","45","55","24","5","3","18","18","103"
"113","400827944","Mavericks","Raptors","1","0","33","86","7","23","18","25","14","30","44","20","5","3","15","25","91"
"114","400827944","Raptors","Mavericks","0","1","37","82","5","17","23","26","10","37","47","18","8","6","16","26","102"
"115","400827945","Kings","Grizzlies","1","0","29","74","7","20","24","40","8","27","35","17","8","1","13","21","89"
"116","400827945","Grizzlies","Kings","0","1","40","83","3","20","20","25","12","38","50","23","5","7","16","31","103"
"117","400827946","Lakers","Nuggets","1","0","36","86","6","26","31","38","11","29","40","18","9","4","10","28","109"
"118","400827946","Nuggets","Lakers","0","1","43","85","7","20","27","31","11","38","49","30","5","7","14","23","120"
"119","400827947","Pacers","Celtics","1","1","35","91","8","23","22","29","21","32","53","18","10","1","14","20","100"
"120","400827947","Celtics","Pacers","0","0","35","83","10","27","18","22","15","34","49","20","7","5","19","22","98"
"121","400827948","Wizards","Spurs","1","1","42","87","8","23","10","14","4","29","33","27","11","3","10","19","102"
"122","400827948","Spurs","Wizards","0","0","37","81","7","22","18","20","9","40","49","21","5","3","20","21","99"
"123","400827949","Hawks","Nets","1","1","37","76","8","22","19","24","6","28","34","27","15","10","13","17","101"
"124","400827949","Nets","Hawks","0","0","36","83","5","21","10","13","14","29","43","24","9","4","19","19","87"
"125","400827950","Cavaliers","Knicks","1","1","33","83","7","27","23","32","9","39","48","21","5","2","11","12","96"
"126","400827950","Knicks","Cavaliers","0","0","33","84","8","24","12","15","9","31","40","16","6","7","12","23","86"
"127","400827951","Rockets","Magic","1","1","42","88","11","34","24","34","16","32","48","28","8","1","19","20","119"
"128","400827951","Magic","Rockets","0","0","46","91","7","20","15","19","9","29","38","28","12","6","14","25","114"
"129","400827952","Bucks","76ers","1","1","35","86","8","23","13","17","8","28","36","24","6","4","10","19","91"
"130","400827952","76ers","Bucks","0","0","34","81","6","28","13","15","12","39","51","23","4","9","18","23","87"
"131","400827953","Thunder","Raptors","1","0","39","82","8","23","12","14","11","30","41","26","8","10","19","29","98"
"132","400827953","Raptors","Thunder","0","1","33","79","5","14","32","39","12","33","45","12","14","3","14","16","103"
"133","400827954","Suns","Kings","1","1","45","83","14","23","14","22","9","32","41","27","14","4","18","11","118"
"134","400827954","Kings","Suns","0","0","40","84","11","24","6","12","7","26","33","25","9","4","17","22","97"
"135","400827955","Jazz","Trail Blazers","1","0","33","88","5","24","21","33","16","24","40","9","12","8","9","22","92"
"136","400827955","Trail Blazers","Jazz","0","1","41","77","11","25","15","32","13","35","48","11","5","7","19","25","108"
"137","400827956","Warriors","Clippers","1","1","39","85","10","26","24","31","9","33","42","28","6","5","12","22","112"
"138","400827956","Clippers","Warriors","0","0","43","88","8","22","14","22","10","31","41","24","6","4","11","26","108"
"139","400827957","Bulls","Thunder","1","1","40","90","7","18","17","21","11","36","47","20","3","7","6","17","104"
"140","400827957","Thunder","Bulls","0","0","38","84","5","13","17","20","9","35","44","21","2","8","9","18","98"
"141","400827958","Timberwolves","Heat","1","0","30","85","4","12","20","22","10","34","44","16","7","6","16","27","84"
"142","400827958","Heat","Timberwolves","0","1","37","76","4","14","18","25","7","35","42","14","6","6","16","19","96"
"143","400827959","Mavericks","Hornets","1","0","32","82","6","29","24","27","8","36","44","17","8","2","13","13","94"
"144","400827959","Hornets","Mavericks","0","1","44","89","6","27","14","17","8","40","48","19","8","6","11","25","108"
"145","400827960","Nuggets","Jazz","1","0","28","72","5","20","23","34","11","34","45","16","4","6","13","14","84"
"146","400827960","Jazz","Nuggets","0","1","37","85","11","24","11","17","12","31","43","23","6","6","10","26","96"
"147","400827961","Trail Blazers","Grizzlies","1","1","44","87","15","30","12","20","14","33","47","29","3","3","8","19","115"
"148","400827961","Grizzlies","Trail Blazers","0","0","37","77","7","20","15","21","7","29","36","20","4","5","8","14","96"
"149","400827962","Magic","Raptors","1","1","33","77","9","25","17","22","6","34","40","22","4","4","12","25","92"
"150","400827962","Raptors","Magic","0","0","30","86","5","23","22","29","15","29","44","13","5","5","9","18","87"
"151","400827963","Celtics","Wizards","1","1","44","97","12","30","18","23","15","38","53","24","18","5","17","21","118"
"152","400827963","Wizards","Celtics","0","0","36","88","8","25","18","23","10","35","45","23","10","8","24","27","98"
